id,title,intro,image,steps,ingredients,tags,notice,level,craft,duration,flavor
12,冰糖红枣炖银耳,"“此菜现已在全国各地都流行此菜，其实在湖北咸宁很早很早便有了此菜的身影了。” 
",http://i3.meishichina.com/attachment/recipe/200910/200910130319260.jpg@!p800,"['银耳入水泡软摘尽泥沙，撕成小朵，红枣入水泡软，冰糖敲碎。', '砂锅上火加水放入银耳、红枣大火烧开，打去浮沫，放入冰糖小火熬90分钟即可。']","{'银耳': '50克', '红枣': '15克', '冰糖': '150克'}",[],"特点：香甜可口、滋补养颜。
提示：银耳须熬至融化。",简单,炖,数小时,原味
13,开胃拌鳝丝,"“此菜是沙市地区的流行风味菜，成菜开胃下饭、鲜嫩滑爽。” 
",http://i3.meishichina.com/attachment/recipe/200910/200910130323581.jpg@!p800,"['鳝丝飞水切3cm长的段，香芹洗净飞水冲凉，洋葱切丝。', '将鳝丝、香芹、洋葱丝入盆调匀上述调料即可。']","{'鳝鱼丝': '150克', '香芹': '3克', '洋葱': '30克', '蒜粒': '3克', '姜米': '3克', '香油': '5克', '香醋': '20克', '红油': '20克', '老干妈': '10克', '盐': '2克', '生抽': '15克', '白糖': '1克', '味粉': '2克'}",['凉菜'],"特点：鳝丝鲜嫩、味道酸辣。
提示：鳝鱼不可多食，否则不仅不易消化，而且好可能引发旧症。",简单,拌,十分钟,原味
14,老干妈酥鱼串,"“老干妈酥鱼串是近年来武汉地区的风味流行菜，成菜外酥里嫩，香辣开胃。” 
",http://i3.meishichina.com/attachment/recipe/200910/200910130329430.jpg@!p800,"['鱼肉切片用B料码味。', '鸡蛋打散，入淀粉调匀鱼片用竹签穿上，拍匀面包糠。', '锅上火入油烧至三成，下入鱼片串炸至表面金黄控油。', '锅留底油，下入老干妈、姜蒜、青红椒粒炒香出味，调入味精，放葱花，起锅浇在鱼串上即可。']","{'鱼肉': '300克', '面包糠': '150克', '鸡蛋': '1个', '水淀粉': '20克', '青红椒粒': '20克', '老干妈': '20克', '葱花': '15克', '姜末': '6克', '蒜末': '8克', '味精': '3克', '色拉油': '1000克', '盐': '4克', '胡椒粉': '3克', '料酒': '15克'}",['热菜'],"特点：外酥里嫩、香辣入味。
提示：炸至鱼串时，须控制好油温。",普通,酥,廿分钟,原味
15,芦荟烩鱼肚,"“此菜是武汉地区近年来的时尚风味菜，成菜具有很好的食疗保健功效。” 
",http://i3.meishichina.com/attachment/recipe/200910/200910130336052.jpg@!p800,"['鱼肚切片飞水，芦荟去皮切片飞水冲凉。', '鸡汤入锅烧沸，下入鱼肚、芦荟，调入盐、白糖、葱、姜汁烧至入味，勾芡撒葱段即可。']","{'鱼肚': '300克', '芦荟': '200克', '葱': '30克', '鸡汤': '200克', '水淀粉': '20克', '小葱段': '15克', '姜汁': '30克', '盐': '3克', '鸡精': '5克', '白糖': '白糖'}",['热菜'],"特点：清鲜味美、滑软爽口。
提示：鱼肚需用高汤煨至入味后方可烹制，否则鲜味不足。",普通,烩,廿分钟,原味
16,韭菜炒鸭肠,,http://i3.meishichina.com/attachment/recipe/200910/200910130342224.jpg@!p800,"['将鸭肠洗净切段，放入沸水锅内氽烫后，捞出过凉水，沥干待用。', '将韭菜洗净切段；姜洗净切丝；蒜去皮拍碎；青椒洗净后，去蒂、籽斜切成丝。', '起锅热油，炒香蒜、青椒，再加入韭菜、盐、白糖、料酒用旺火翻炒。', '待韭菜软化后加入姜丝、鸭肠拌炒匀并淋入香油即成。']","{'鸭肠': '250克', '韭菜': '1小把', '青椒': '1个', '姜': '3片', '蒜': '3瓣', '料酒': '1大匙', '香油': '1小匙', '盐': '半小匙', '白糖': '少许'}","['热菜', '私房菜']","1、此菜鸭肠洁白，青椒碧绿，柔嫩清淡，咸鲜可口，微有辣味。价廉物美，好看好吃。
2、韭菜为辛温补阳之品，含有一定量的锌元素，能温补肝肾，因此在药典上有“起阳草”之称，可与现今的“伟哥”媲美。
3、将韭菜捣碎加面粉搅成糊状，敷在扭伤或淤血的部位，有助于伤处恢复。",普通,炒,廿分钟,原味
17,洋葱尖椒炒鸭血,,http://i3.meishichina.com/attachment/recipe/200910/200910130353228.jpg@!p800,"['将洋葱、红椒均洗净切成丁；鸭血洗净浸泡，切成丝；蒜去皮切末；姜洗净切片；葱洗净切段。', '起锅烧水，水沸后放入姜片、红椒、鸭血稍煮，捞起沥干。', '起锅热油，放入蒜末、葱段、洋葱、红椒、鸭血、盐炒香。', '用水淀粉勾芡，淋上香油即成。']","{'鸭血': '300克', '红尖椒': '3个', '洋葱': '1个', '水淀粉': '1大匙', '盐': '1小匙', '葱': '适量', '蒜': '适量', '姜': '适量', '香油': '少许', '鸡精': '少许'}",['热菜'],1、鸭血有补血和清热解毒的作用，还有预防和治疗缺铁性贫血的功效。根据《本草便读》中的经验，“鸭血功专解毒，但须热饮方解，亦古今相传之法”。,普通,炒,廿分钟,原味
18,辣味木耳炒腐竹,,http://i3.meishichina.com/attachment/recipe/200910/200910130400198.jpg@!p800,"['将腐竹洗净切丝；木耳洗净去蒂，切丝；红辣椒去蒂、籽，洗净切丝；葱洗净切段。', '将木耳、腐竹放入沸水锅中稍煮去味，捞出沥干。', '起锅热油，放入红椒丝、葱段、木耳、腐竹翻炒片刻。', '加盐、味精、白糖翻炒入味，最后用水淀粉勾芡即成。']","{'水发木耳': '200克', '新鲜腐竹': '200克', '葱': '适量', '红辣椒': '1个', '盐': '适量', '味精': '适量', '白糖': '适量', '水淀粉': '适量'}",['热菜'],"1、腐竹色浅黄，油光透亮，含有丰富的蛋白质及多种营养成分，可做荤、素、烧、炒、凉拌、汤食等，食之清香爽口。
2、腐竹是豆制品中的高档食品，被人们广称为“素中之荤”，备受广大消费者喜爱。",普通,炒,廿分钟,原味
19,肉末蕃茄豆腐,,http://i3.meishichina.com/attachment/recipe/200910/200910130515026.jpg@!p800,"['将猪肉洗净，剁碎成肉末；豆腐洗净切成方丁；西红柿洗净切成块；葱、姜均切末。', '起锅热油，爆香葱、姜，随即放肉末，炒后盛出。', '另起锅热油，放入西红柿略炒后，将豆腐放入。', '加入盐、酱油、味精，再加上炒好的肉末翻炒至豆腐入味，最后用水淀粉勾芡均匀即成。']","{'猪肉': '50克', '豆腐': '1块', '西红柿': '2个', '葱': '适量', '姜汁': '适量', '酱油': '1大匙', '盐、味精': '各适量', '水淀粉': '半大匙'}",['私房菜'],1、此菜肉烂可口，豆腐鲜嫩、番茄软烂，味道鲜美。尤适于儿童常吃，对保健防病有极好的作用。,普通,炒,廿分钟,原味
20,咸蛋黄炒茄花,,http://i3.meishichina.com/attachment/recipe/200910/200910130519474.jpg@!p800,"['把茄子去皮洗净，切成柱体，加盐、料酒腌拌15分钟，待茄子变软，挤干茄子水分并拌上淀粉。', '把咸蛋黄蒸熟，取出后压碎待用。', '起锅热油，放入茄子用小火炸至表皮酥脆时捞起。', '在锅底留适量油，放入咸蛋黄碎，用小火翻炒2分钟后，放青椒粒、红椒粒、茄子翻炒均匀，加味精调味即成。']","{'茄子': '250克', '青椒粒': '15克', '红椒粒': '15克', '咸蛋黄': '3个', '淀粉': '适量', '料酒': '1大匙', '盐': '适量', '味精': '适量'}",['热菜'],1、咸蛋黄营养价值相当高，含有丰富的蛋白质、维生素A和维他命B2。咸蛋黄配以茄子和炒，味美可口，咸淡适中，令人回味无穷。,普通,炒,半小时,原味
21,腰果胡萝卜炒西兰花,,http://i3.meishichina.com/attachment/recipe/200910/200910130524371.jpg@!p800,"['将西兰花洗净切小块；胡萝卜洗净切片。', '起锅，加适量水烧开，放入西兰花、胡萝卜汆烫片刻，捞出沥干。', '另起锅热油，放入腰果，炸至金黄色，捞出备用。', '在锅底留适量油，煸炒西兰花、胡萝卜，加入盐、味精、白糖和适量水，煮沸后用水淀粉勾芡，再放入腰果略炒即成。']","{'西兰花': '250克', '腰果': '150克', '胡萝卜': '100克', '水淀粉': '适量', '盐': '1小匙', '味精': '适量', '白糖': '适量'}",['热菜'],"1、西兰花有一个重要的特点，就是水煮或用水焯过后颜色依然翠绿，口感更加爽脆。
2、西兰花的食用部分为绿色幼嫩花茎和花蕾，营养丰富，含蛋白质、糖、脂肪、维生素和胡萝卜素，营养成份位居同类蔬菜之首，被誉为“蔬菜皇冠”。",普通,炒,廿分钟,原味
23,苦瓜炒腊肠,,http://i8.meishichina.com/attachment/recipe/200910/200910130534456.jpg@!p800,"['将腊肠切片，蒸20分钟，放入锅中略炒。', '将苦瓜洗净切片，入沸水汆烫后，捞出沥干备用。', '起锅热油，煸香姜末、蒜末，烹料酒，放入腊肠、苦瓜、红椒片，加高汤。', '调入盐、味精、白糖翻炒，最后用水淀粉勾薄芡即成。']","{'腊肠': '300克', '苦瓜': '1根', '红椒片': '适量', '姜末': '1小匙', '蒜末': '1小匙', '料酒': '1小匙', '味精': '半小匙', '白糖': '半小匙', '高汤': '少许', '盐': '适量', '淀粉': '适量'}",[],"1、苦瓜能滋润白皙皮肤，还能镇静和保湿肌肤，特别是在躁热的夏天，敷上冰过的苦瓜片15分钟，能立即解除肌肤的烦躁。
2、生腊肠处理的时候要用热水泡，之后用温水清洗干净；腊肠本身带有盐味，在烹饪时候要依据个人的口味适当放盐。",普通,炒,廿分钟,原味
24,西红柿酱拌猫耳朵,"“隆重推出山西风味小吃：飞霞的猫耳朵。” 
",http://i3.meishichina.com/attachment/recipe/201102/201102181502079.jpg@!p800,[],"{'西红柿': '中等大小5个', '面粉': '适量', '牛肉干': '适量'}","['主食', '小吃', '儿童', '西北菜', '家常菜', '秋季食谱', '晋菜', '午餐']",,普通,煮,半小时,酱香
25,秘制番茄排骨,"“看日志去~很详细的~” 
",http://i3.meishichina.com/attachment/recipe/201102/201102151500000.jpg@!p800,"['早上去买了新鲜的肋排，回来后沥水，就是小小的水流冲着它，这样去血水的猪肉会很好的保留肉的鲜味，不过就是稍微浪费水了', '沥水大概一个小时后，把水控干<br>然后用，黑胡椒适量，五香粉适量，白酒一瓶盖，梅子酒一瓶盖，料酒两瓶盖，生抽一勺，白糖一勺，盐半勺，这样和均匀腌大概40分钟', '倒一点底油后用姜片把锅底擦一遍，这样不用倒很多油肉在煎时也不会沾锅，然后先中小火把排骨煎上3-4分钟让肉熟透，然后在大火煎1-2分钟，把肉里的油再煎出来也让肉更酥，然后把煎好的排骨装盘', '之后做锅，倒点底油把准备好的葱蒜爆香，之后放入番茄酱，冰糖，盐，生抽3勺，醋一勺，陈皮一点和清水。<br>清水的量和排骨齐平就好，水开后放排骨，调小火焖30分钟', '然后开大火收汁，最后収汁完了就是装盘开吃啦，撒上点炒熟的白芝麻更香！']","{'肋排': '适量', '陈皮': '适量', '食用油': '适量', '白酒': '适量', '梅子酒': '适量', '黑胡椒': '适量', '生抽': '适量', '料酒': '适量', '白糖': '适量', '盐番茄酱': '适量', '醋': '适量', '冰糖': '适量'}","['小吃', '粤菜', '老人', '朋友聚餐', '冬季食谱', '午餐']","最后呢，我书现在已经上传了几章占书名，请大家去收藏支持下，11月底正式上传！http://www.qidian.com/book/1405258.aspx

祝大家生活愉快，排骨啃得开心~~",普通,烧,半小时,酸甜
26,鱼咬羊,"“外婆版鱼咬羊
鱼，羊，即为鲜。来自清朝徽州的地方特色菜，其特点是鱼不腥，羊不膻，汤鲜肉美。容易操作。” 
",http://i3.meishichina.com/attachment/recipe/201106/201106291129219.jpg@!p800,"['葱段（五厘米）两段，姜片十片，香菜一棵切末，八角两个。', '鱼和羊肉。', '先烧一锅开水，羊肉切块用五片姜焯水。', '鱼切大块。', '鱼块稍煎，捞出。', '小火凉油放八角五片姜片葱段，煎出香味，放羊肉中火炒两分钟。', '开水倒入，整体转砂锅，没有砂锅的就用汤锅（砂锅最好）。煮开后转煲汤到羊肉软烂（一小时即可）。放入盐，胡椒调味。把鱼放入，煲三十分钟，别把鱼弄碎了，碎了你就捞不着了，最后临出锅放入味精香菜末香油，点一点醋就好了。']","{'鱼段': '一斤', '羊肉': '羊肉', '葱段': '（五厘米）两（五厘米）两', '姜片': '十片', '香菜': '一棵', '八角': '两个', '盐': '适量', '味精': '适量', '白醋': '少许', '香油': '适量'}","['徽菜', '儿童', '老人', '热菜', '冬季食谱', '午餐', '名菜']","不用担心这个菜鱼会腥，羊会膻。
如果喜欢放调味料，可以依据自己的口味适当添加，但是这个汤主要就是鲜美，放多作料反而不好。",普通,炖,数小时,原味
27,私房红烧猪脚,"“红烧类大致相同，只是每个人有每个人的手法而已。” 
",http://i3.meishichina.com/attachment/recipe/201102/201102151501103.jpg@!p800,"['用姜片葱段一半量煮开水，焯猪脚一分钟，在水开的时候放料酒继续煮一分钟，捞出过冷水冲洗干净', '锅上坐油，凉油放冰糖，小火溶化，等全部融化并冒泡时，放入猪脚翻炒，两分钟', '放入姜片葱段，八角草果继续翻炒两分钟，倒一汤匙酱油，翻炒均匀，注入开水，大火烧开转小火炖至猪蹄软烂', '放盐，五香粉，鸡精，炖二十分钟入味。收汁出锅即可']","{'猪脚': '一只', '姜片': '十片', '八角': '两个', '冰糖': '五颗', '葱段': '两段', '草果': '一个', '盐': '依个人口味', '鸡精': '依个人口味', '五香粉': '一茶匙', '酱油': '一汤匙'}","['产妇', '热菜', '朋友聚餐', '家常菜', '冬季食谱', '晚餐']",猪脚可以买冷鲜肉柜的，干净没有异味。,普通,烧,一小时,五香
29,白灼芥蓝,"“芥蓝中含有有机碱，这使它带有一定的苦味，能刺激人的味觉神经，增进食欲，还可加快胃肠蠕动，有助消化。能调节早孕期妇女的食欲。芥蓝中另一种独特的苦味成分是金鸡纳霜，能抑制过度兴奋的体温中枢，起到消暑解热作用。
特点：口味清淡，口感脆嫩鲜爽。” 
",http://i8.meishichina.com/attachment/recipe/200910/200910290622118.jpg@!p800,[],"{'芥蓝': '姜丝', '色拉油': '50克', '葱丝': '适量', '姜丝': '适量', '红椒丝': '适量', '青椒丝': '适量', '味极鲜酱油': '2大勺', '白糖': '1大勺', '鸡精': '1小勺', '香油': '1小勺'}",[],,简单,其他,廿分钟,原味
30,招牌佛手茄子,"“佛手茄子，酒店美味自家享受。” 
",http://i3.meishichina.com/attachment/recipe/201102/201102181430184.jpg@!p800,"['茄子横竖刀切成佛手状粗条。', '切成这种形状。', '均匀拍上淀粉。', '入热油中炸至表皮酥脆。', '番茄去皮，切小块，洋葱切小块。锅内倒油，小火炒洋葱蒜末，出香味后加入肉末中火炒至肉糜发白，继续炒至出油。', '加入小块番茄，翻炒均匀。', '依次放入：番茄酱，糖，盐。', '兑小半碗水小火煮开。', '浇在茄子上即可。', '浇在茄子上即可。']","{'茄子': '一个', '番茄': '一个', '洋葱': '四分之一个', '肉糜': '二两', '番茄酱': '两汤匙', '糖': '一茶匙', '蒜末': '一汤匙', '淀粉': '适量', '盐': '（自调）'}","['老人', '热菜', '家常菜', '夏季食谱', '宴客菜', '午餐']","这道菜好吃的关键是，茄子炸酥后，制作肉酱要快，趁茄子仍酥脆浇上现吃
切茄子要条条不粘连，切条不断。
番茄肉酱即意大利面红酱的做法",普通,技巧,半小时,酱香
31,香菇扒菜胆,"“这道有菜的食材都很健康，而且制作方法简单，青菜吸收了冬菇汁的鲜味，比清炒更好吃。” 
",http://i8.meishichina.com/attachment/recipe/200910/200910290708086.JPG@!p800,"['香菇洗净,放冷水里泡软后去掉蒂部，小塘菜洗净,每颗切成两半。', '取半碗泡香菇的水，加入少许糖、盐、酱油、料酒，做成料汁。', '把油烧热，爆香蒜茸，把切好的小塘菜倒进炒至断生，加少许盐调味盛出摆盆。', '油热后，放姜丝爆香，把泡好的香菇放进锅时翻炒几下后，把调好的料汁倒进合盖焖5分钟，出锅前加入淀粉水，把香菇摆在小塘菜上面，然后淋上香菇汁。']","{'香菇': '8-10朵', '小塘菜': '400克', '糖': '一茶匙', '酱油': '二茶匙', '盐': '1/3茶匙', '水': '半碗'}",[],最好选取个头相等，较小的小塘菜，易熟更能保持碧绿的颜色，而且方便入味和摆盆。,简单,扒,十分钟,原味
32,葱爆牛肉,,http://i8.meishichina.com/attachment/recipe/200910/200910290752199.JPG@!p800,"['牛肉切片,放盐,酱油,胡椒粉,生粉,一点料酒,姜丝少许,拌匀后再加点花生油拌下. 腌15分钟.', '尖椒去掉蒂和籽,如果喜欢吃辣的,可以把籽留下.对半切开后,切成小块.， 洋葱切丝，胡萝卜切成小片', '锅烧热后,放油(最好多放点),爆香姜丝后,把牛肉放进锅里,迅速划散,然后倒点料酒,翻炒几下,然后再溜点水.七成熟后,盛起备用', '另起锅放油烧热后,把尖椒倒进爆炒几下,然后把洋葱丝和胡萝卜片放进同炒至6成熟时把炒过的牛肉也倒进锅里一起炒,如果太干的话,可以溜点水.牛肉熟后,加盐和少许鸡精,就可上碟了.']","{'尖椒': '2个', '牛肉': '150克', '洋葱': '1/4个', '胡萝卜': '一小截', '姜丝': '适量'}",[],"牛肉一定要逆纹切，炒起来才嫩滑。
这个菜鲜香微辣，非常下饭。",普通,爆,十分钟,原味
33,猪肉韭菜饺子,,http://i8.meishichina.com/attachment/recipe/200910/200910290808126.JPG@!p800,"['猪肉剁成肉末，韭菜切成细茸。把剁好的猪肉和韭菜放盘子里，加盐，酱油，胡椒粉，姜末，少许花生油， （有芝麻油就滴几滴），拌匀备用', '锅里放清水烧开后，把包好的饺子放下锅里，水烧开后，添点冷水，如此反复三次， 把浮起来的饺子捞起来即可。']","{'半肥猪肉': '150克', '韭菜': '100克', '饺子皮': '20张', '盐': '1茶匙', '酱油': '2茶匙', '生粉': '2茶匙', '姜末': '1茶匙'}",[],现成的饺子皮通常比较干，最好在边上粘点水再捏合，这样可以防止煮的时候漏馅。,未知,其他,廿分钟,原味
35,拔丝汤圆,,http://i3.meishichina.com/attachment/recipe/201102/201102181438166.jpg@!p800,"['汤圆下油锅。', '要不停的翻炒以免粘连。', '把炒好的汤圆盛起。', '开小火，锅里倒少许油和白砂糖。（爱吃甜食可多加些糖）', '糖要不停的炒，像这样就OK了。', '糖炒好后把汤圆倒入快速翻炒，让每一个汤圆都裹上糖。', '盘里抹点油，把汤圆装盘。', '看看做好的拔丝汤圆。']","{'汤圆面': '一斤', '油': '少许', '白砂糖': '少许'}",['小吃'],"1、只要糖和油，不要给水，要小火。
2、还可以用苹果，香蕉，等水果做，拔丝鹌鹑蛋小朋友最适合吃。
3、消化功能不好的人少吃。",普通,拔丝,十分钟,甜味
